gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,1,19,0.8,0.0,21.6,2.2,90,50,0,0,0,0,3,0,True,8
2,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,10
3,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0,True,16
4,1,2,1.4,4.0,0.0,0.4,9,49,0,0,0,0,0,0,False,4
5,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0,True,14
6,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0,False,11
7,1,3,2.6,2.0,3.4,0.8,21,48,0,0,0,0,1,0,False,12
8,1,3,0.3,0.0,0.2,0.1,4,48,0,0,0,0,0,0,True,5
9,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,13
10,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,20
11,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,17
12,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,7
13,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,15
14,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,3
15,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,19
16,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,2
17,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,18
18,1,3,1.6,0.0,0.2,0.2,5,47,0,0,0,0,0,0,False,9
19,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,16
20,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,1
21,6,26,1.0,0.0,14.4,1.5,90,47,0,0,0,0,0,0,True,11
22,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,14
23,6,21,1.6,0.0,11.2,1.3,90,47,0,0,0,0,0,0,True,4
24,1,5,0.3,0.0,2.0,0.2,1,47,0,0,0,0,0,0,False,1
25,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,20
