gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,5,16,2.9,17.0,1.6,2.2,67,50,0,1,0,0,2,0,False,7
2,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,1
3,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,16
4,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,9
5,1,3,0.0,0.0,0.0,0.0,6,50,0,0,0,0,0,0,True,3
6,6,19,4.8,18.0,38.8,6.2,45,49,1,0,0,0,0,0,False,11
7,1,9,18.5,0.0,10.4,2.9,25,49,0,0,0,0,0,0,True,13
8,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0,False,4
9,1,2,1.8,0.0,2.2,0.4,10,49,0,0,0,0,1,0,True,5
10,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0,False,17
11,1,2,12.4,4.0,2.8,1.9,24,48,0,0,0,0,1,0,True,19
12,0,0,0.8,2.0,0.0,0.2,23,48,0,0,1,0,0,0,False,18
13,1,3,0.9,0.0,0.4,0.1,15,48,0,0,0,0,0,0,True,12
14,4,17,14.5,2.0,20.0,3.7,18,48,0,1,0,0,1,0,False,15
15,1,2,0.0,0.0,1.0,0.1,3,48,0,0,0,0,1,0,True,10
16,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,2
17,4,18,18.9,10.0,23.4,5.2,19,48,0,1,0,0,0,0,False,14
18,2,9,1.8,2.0,6.2,1.0,64,48,0,0,0,0,1,0,True,6
19,3,12,20.2,11.0,7.0,3.8,79,48,0,0,0,0,0,0,True,20
20,1,2,1.6,2.0,3.4,0.7,17,48,0,0,0,0,0,0,False,12
21,1,4,4.8,1.0,1.2,0.7,20,48,0,0,0,0,0,0,True,4
22,2,8,21.1,37.0,8.2,6.6,90,48,0,0,0,0,3,0,False,13
23,3,4,10.7,13.0,8.0,3.2,66,48,0,0,0,0,0,0,False,3
24,1,8,25.7,18.0,9.2,5.3,45,48,0,0,0,0,1,0,True,11
25,2,16,38.9,10.0,20.8,7.0,90,48,0,0,0,0,2,0,False,16
26,1,2,0.0,2.0,0.0,0.2,11,48,0,0,0,0,0,0,True,9
27,1,8,10.4,13.0,7.4,3.1,21,48,0,0,0,0,0,0,True,7
28,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,20
29,3,9,12.9,38.0,10.2,6.1,86,48,0,0,0,0,0,0,True,14
30,3,3,15.4,14.0,1.6,3.1,61,48,0,0,0,0,0,0,True,15
31,5,22,14.8,17.0,27.8,6.0,60,48,0,1,0,0,4,0,False,6
32,1,-1,1.8,0.0,4.4,0.6,16,48,0,0,0,0,0,0,False,5
33,1,2,0.0,0.0,0.0,0.0,1,48,0,0,0,0,0,0,False,1
34,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,19
35,1,5,0.0,2.0,2.2,0.4,13,48,0,0,0,0,0,0,True,18
36,1,2,1.1,0.0,0.0,0.1,11,48,0,0,0,0,0,0,False,10
37,0,0,10.6,0.0,1.6,1.2,25,48,0,0,1,0,3,0,True,17
38,1,4,1.5,0.0,0.6,0.2,18,48,0,0,0,0,0,0,True,2
39,1,3,0.3,0.0,0.0,0.0,2,55,0,0,0,0,0,0,False,1
40,1,3,0.0,0.0,0.2,0.0,1,55,0,0,0,0,0,0,True,3
41,1,8,39.6,12.0,9.6,6.1,30,54,0,0,0,0,2,0,False,12
42,1,3,2.6,6.0,0.2,0.9,45,54,0,0,0,0,1,0,True,5
43,1,4,10.6,4.0,2.8,1.7,25,54,0,0,0,0,0,0,False,8
44,4,12,0.4,17.0,5.2,2.3,29,53,0,1,0,0,1,0,True,10
45,3,8,2.2,8.0,7.2,1.7,90,53,0,0,0,0,0,0,False,2
46,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,True,19
47,1,4,0.0,0.0,1.0,0.1,3,53,0,0,0,0,0,0,False,16
48,10,29,12.3,8.0,38.2,5.9,90,53,1,0,0,0,0,0,True,7
49,2,19,44.9,8.0,14.4,6.7,79,53,0,0,0,0,2,0,False,15
50,2,8,1.0,0.0,2.6,0.4,90,53,0,0,0,0,2,0,True,11
51,1,3,1.6,0.0,10.6,1.2,90,53,0,0,1,0,1,0,False,20
52,1,3,0.3,0.0,1.2,0.2,13,53,0,0,0,0,1,0,True,17
53,8,23,3.9,77.0,34.6,11.6,87,53,1,0,0,0,0,0,True,4
54,6,25,20.8,38.0,37.2,9.6,72,53,1,0,1,0,2,0,False,13
55,1,2,0.5,0.0,0.0,0.1,18,53,0,0,0,0,0,0,False,14
56,2,24,49.8,29.0,22.4,10.1,90,53,0,0,0,0,3,0,True,6
57,2,6,13.5,14.0,0.0,2.8,79,53,0,0,0,0,2,0,True,12
58,1,4,1.0,0.0,1.2,0.2,17,53,0,0,0,0,0,0,False,18
59,2,7,23.5,38.0,13.2,7.5,90,53,0,0,0,0,2,0,False,10
60,1,3,14.6,19.0,5.0,3.9,13,53,0,0,0,0,0,0,True,8
61,1,3,0.3,0.0,0.2,0.1,8,53,0,0,0,0,0,0,False,5
62,1,4,2.7,2.0,1.6,0.6,25,53,0,0,0,0,0,0,True,18
63,2,5,2.1,18.0,10.2,3.0,74,53,0,0,0,0,2,0,False,7
64,1,2,0.5,22.0,0.2,2.3,22,53,0,0,0,0,0,0,True,16
