@relation 'Jorge Luiz_Frello Filho'

@attribute gw_index numeric
@attribute total_points numeric
@attribute bps numeric
@attribute creativity numeric
@attribute threat numeric
@attribute influence numeric
@attribute ict_index numeric
@attribute minutes numeric
@attribute value numeric
@attribute goals_scored numeric
@attribute assists numeric
@attribute yellow_cards numeric
@attribute red_cards numeric
@attribute goals_conceded numeric
@attribute saves numeric
@attribute was_home {False,True}
@attribute opponent_team numeric

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0
1,9,31,9.3,17,52.6,7.9,90,50,1,0,0,0,0,0,False,10
2,2,14,11.9,7,14.4,3.3,90,51,0,0,0,0,2,0,True,1
3,2,15,32.5,2,35.8,7,90,51,0,0,0,0,1,0,False,15
4,3,15,11.7,9,9.4,3,90,51,0,0,0,0,0,0,True,2
5,2,10,6.5,0,7.8,1.4,90,52,0,0,0,0,1,0,True,5
6,3,16,50.7,0,29.6,8,90,52,0,0,0,0,0,0,False,19
7,2,15,17.7,0,18,3.6,90,51,0,0,0,0,1,0,True,12
8,3,11,17.2,0,19.6,3.7,90,51,0,0,0,0,0,0,False,16
9,2,20,31.6,0,18.4,5,90,51,0,0,0,0,2,0,True,14
10,3,18,31.3,0,17.2,4.9,77,51,0,0,0,0,0,0,False,4
11,2,15,9.6,2,10.6,2.2,79,50,0,0,0,0,1,0,True,7
12,2,13,12,8,14.4,3.4,63,50,0,0,1,0,0,0,True,8
13,1,9,4.9,0,10.2,1.5,90,50,0,0,1,0,3,0,False,17
14,3,17,3,0,15,1.8,90,49,0,0,0,0,0,0,True,9
15,0,0,0,0,0,0,0,49,0,0,0,0,0,0,False,20
16,2,7,1.8,0,2.2,0.4,90,49,0,0,1,0,0,0,True,13
17,2,16,5.5,0,13.4,1.9,90,48,0,0,0,0,1,0,False,3
18,2,14,8.8,7,23.2,3.9,74,48,0,0,0,0,1,0,True,11
19,2,15,9.2,1,17.6,2.8,90,48,0,0,0,0,1,0,False,18
20,3,16,22.6,1,27.4,5.1,90,48,0,0,0,0,0,0,False,7
21,3,18,6.8,7,27.8,4.2,90,48,0,0,0,0,0,0,True,16
22,1,23,40.6,0,23.2,6.4,90,47,0,0,1,0,1,0,True,15
23,2,11,12.9,3,10.6,2.7,90,47,0,0,0,0,2,0,False,1
24,2,16,18.1,0,15,3.3,90,47,0,0,0,0,4,0,False,2
25,3,15,19.9,8,14,4.2,69,47,0,0,0,0,0,0,True,10
26,1,12,17.3,1,8.4,2.7,90,47,0,0,1,0,6,0,False,13
27,3,19,5.8,0,24.2,3,90,46,0,0,0,0,0,0,True,17
28,9,34,40.1,7,44.4,9.2,67,46,1,0,1,0,1,0,False,9
29,2,13,8.9,0,13.8,2.3,71,46,0,0,0,0,1,0,True,20
30,2,19,18.6,7,27.6,5.3,73,46,0,0,0,0,2,0,False,8
31,1,10,4.2,0,7.8,1.2,63,46,0,0,1,0,1,0,False,5
32,3,22,34.9,0,28.2,6.3,90,46,0,0,0,0,0,0,True,3
33,3,11,2.6,0,11.4,1.4,90,46,0,0,0,0,0,0,True,19
34,2,8,4.4,0,16,2,90,46,0,0,0,0,2,0,False,12
35,2,15,28.5,16,14.6,5.9,90,46,0,0,0,0,2,0,True,4
36,2,12,3.4,2,11.6,1.7,90,46,0,0,0,0,1,0,False,14
37,3,22,36.7,17,20.6,7.4,90,46,0,0,0,0,0,0,True,18
38,2,10,26.9,0,15.4,4.2,90,46,0,0,1,0,0,0,False,11
39,1,10,4.3,8,6.2,1.9,72,50,0,0,1,0,3,0,False,12
40,1,3,5,1,8.2,1.4,70,50,0,0,1,0,1,0,True,9
41,1,18,13.6,10,14,3.8,90,50,0,0,1,0,2,0,False,14
42,7,26,22.4,4,25.6,5.2,90,50,0,1,0,0,2,0,True,15
43,5,30,38.8,0,33.8,7.3,90,50,0,1,0,0,2,0,False,20
44,2,14,17.8,1,10.8,3,90,50,0,0,0,0,2,0,True,10
45,11,45,42.4,18,57.2,11.8,90,50,1,0,0,0,0,0,True,4
46,1,12,3.6,0,18.2,2.2,90,50,0,0,1,0,1,0,False,16
47,3,19,20.2,0,23.4,4.4,90,51,0,0,0,0,0,0,True,13
48,2,18,3.9,0,10.4,1.4,90,51,0,0,0,0,2,0,False,5
49,4,26,36.3,0,30.2,6.7,90,51,0,1,1,0,1,0,False,18
50,0,0,0,0,0,0,0,51,0,0,0,0,0,0,True,7
51,1,7,3.2,0,6.6,1,73,51,0,0,1,0,2,0,False,11
52,2,9,2.6,0,6.2,0.9,62,51,0,0,0,0,1,0,True,19
53,1,5,0,0,2,0.2,1,51,0,0,0,0,0,0,True,2
54,0,0,0,0,0,0,0,51,0,0,0,0,0,0,False,8
55,3,25,14,1,19.4,3.4,77,50,0,0,0,0,0,0,True,3
56,1,13,14.5,0,9.4,2.4,22,50,0,0,0,0,0,0,False,17
57,1,14,22.4,0,24.4,4.7,90,50,0,0,1,0,2,0,True,16
58,5,24,3.7,33,42.6,7.9,56,49,1,0,1,0,0,0,False,1
59,2,12,1.8,0,18,2,90,49,0,0,0,0,1,0,False,4
60,9,30,2.3,17,37.8,5.7,90,49,1,0,0,0,0,0,True,5
61,2,16,23.4,10,18.6,5.2,90,49,0,0,0,0,1,0,False,13
62,10,36,29.9,53,57.6,14.1,90,49,1,0,0,0,2,0,True,1
63,1,13,1.3,0,7.4,0.9,73,49,0,0,1,0,2,0,False,9
64,2,15,13.8,0,17.8,3.2,90,49,0,0,0,0,2,0,True,12
65,2,21,27.2,0,22.8,5,90,49,0,0,0,0,1,0,True,17
66,1,9,21.9,0,12.4,3.4,63,49,0,0,1,0,2,0,False,3
67,0,0,0,0,0,0,0,49,0,0,0,0,0,0,True,8
