@relation Marc_Navarro

@attribute gw_index numeric
@attribute total_points numeric
@attribute bps numeric
@attribute creativity numeric
@attribute threat numeric
@attribute influence numeric
@attribute ict_index numeric
@attribute minutes numeric
@attribute value numeric
@attribute goals_scored numeric
@attribute assists numeric
@attribute yellow_cards numeric
@attribute red_cards numeric
@attribute goals_conceded numeric
@attribute saves numeric
@attribute was_home {False,True}
@attribute opponent_team numeric

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0
1,0,0,0,0,0,0,0,45,0,0,0,0,0,0,True,3
2,0,0,0,0,0,0,0,45,0,0,0,0,0,0,False,4
3,0,0,0,0,0,0,0,44,0,0,0,0,0,0,True,7
4,0,0,0,0,0,0,0,44,0,0,0,0,0,0,True,17
5,0,0,0,0,0,0,0,44,0,0,0,0,0,0,True,14
6,0,0,0,0,0,0,0,43,0,0,0,0,0,0,False,9
7,1,8,5.3,2,15,2.2,83,43,0,0,0,0,2,0,False,1
8,0,0,0,0,0,0,0,43,0,0,0,0,0,0,True,2
9,0,0,0,0,0,0,0,43,0,0,0,0,0,0,False,20
10,0,0,0,0,0,0,0,43,0,0,0,0,0,0,True,10
11,0,0,0,0,0,0,0,43,0,0,0,0,0,0,False,15
12,0,0,0,0,0,0,0,43,0,0,0,0,0,0,False,16
13,0,0,0,0,0,0,0,43,0,0,0,0,0,0,True,12
14,0,0,0,0,0,0,0,43,0,0,0,0,0,0,False,11
15,0,0,0,0,0,0,0,43,0,0,0,0,0,0,True,13
16,0,0,0,0,0,0,0,43,0,0,0,0,0,0,False,8
17,0,0,0,0,0,0,0,43,0,0,0,0,0,0,True,5
18,0,0,0,0,0,0,0,43,0,0,0,0,0,0,False,19
19,0,0,0,0,0,0,0,43,0,0,0,0,0,0,True,6
20,0,0,0,0,0,0,0,43,0,0,0,0,0,0,True,15
21,0,0,0,0,0,0,0,43,0,0,0,0,0,0,False,2
22,0,0,0,0,0,0,0,43,0,0,0,0,0,0,False,7
23,0,0,0,0,0,0,0,42,0,0,0,0,0,0,True,4
24,0,0,0,0,0,0,0,42,0,0,0,0,0,0,False,17
25,0,0,0,0,0,0,0,42,0,0,0,0,0,0,False,3
26,0,0,0,0,0,0,0,42,0,0,0,0,0,0,True,8
27,0,0,0,0,0,0,0,42,0,0,0,0,0,0,False,5
28,0,0,0,0,0,0,0,42,0,0,0,0,0,0,False,12
29,0,0,0,0,0,0,0,42,0,0,0,0,0,0,True,11
30,0,0,0,0,0,0,0,42,0,0,0,0,0,0,False,13
31,0,0,0,0,0,0,0,42,0,0,0,0,0,0,False,14
32,0,0,0,0,0,0,0,42,0,0,0,0,0,0,True,9
33,0,0,0,0,0,0,0,42,0,0,0,0,0,0,True,1
34,1,4,0,0,1,0.1,1,42,0,0,0,0,1,0,False,10
35,0,0,0,0,0,0,0,42,0,0,0,0,0,0,True,16
36,0,0,0,0,0,0,0,42,0,0,0,0,0,0,True,20
37,0,0,0,0,0,0,0,42,0,0,0,0,0,0,False,6
38,0,0,0,0,0,0,0,42,0,0,0,0,0,0,True,19
39,0,0,0,0,0,0,0,40,0,0,0,0,0,0,True,4
40,0,0,0,0,0,0,0,40,0,0,0,0,0,0,False,8
41,0,0,0,0,0,0,0,40,0,0,0,0,0,0,True,19
42,0,0,0,0,0,0,0,40,0,0,0,0,0,0,False,13
43,0,0,0,0,0,0,0,40,0,0,0,0,0,0,True,1
44,0,0,0,0,0,0,0,40,0,0,0,0,0,0,False,11
45,0,0,0,0,0,0,0,40,0,0,0,0,0,0,False,20
46,0,0,0,0,0,0,0,40,0,0,0,0,0,0,True,15
47,0,0,0,0,0,0,0,40,0,0,0,0,0,0,False,17
48,0,0,0,0,0,0,0,39,0,0,0,0,0,0,True,3
49,0,0,0,0,0,0,0,39,0,0,0,0,0,0,True,6
50,0,0,0,0,0,0,0,39,0,0,0,0,0,0,False,14
51,0,0,0,0,0,0,0,39,0,0,0,0,0,0,True,5
52,0,0,0,0,0,0,0,39,0,0,0,0,0,0,False,16
53,0,0,0,0,0,0,0,39,0,0,0,0,0,0,False,9
54,0,0,0,0,0,0,0,39,0,0,0,0,0,0,True,7
55,0,0,0,0,0,0,0,39,0,0,0,0,0,0,False,10
56,0,0,0,0,0,0,0,39,0,0,0,0,0,0,True,12
57,0,0,0,0,0,0,0,39,0,0,0,0,0,0,False,15
58,0,0,0,0,0,0,0,39,0,0,0,0,0,0,True,2
59,0,0,0,0,0,0,0,39,0,0,0,0,0,0,True,20
60,0,0,0,0,0,0,0,39,0,0,0,0,0,0,False,3
61,0,0,0,0,0,0,0,39,0,0,0,0,0,0,True,17
62,0,0,0,0,0,0,0,39,0,0,0,0,0,0,False,2
63,0,0,0,0,0,0,0,39,0,0,0,0,0,0,True,8
64,0,0,0,0,0,0,0,39,0,0,0,0,0,0,False,4
65,0,0,0,0,0,0,0,39,0,0,0,0,0,0,False,12
66,0,0,0,0,0,0,0,39,0,0,0,0,0,0,True,10
67,0,0,0,0,0,0,0,39,0,0,0,0,0,0,False,7
